Package                        Version     Location                                                              Installer
packaging                      23.0        /root/miniconda3/lib/python3.10/site-packages                         conda
pandocfilters                  1.5.0       /root/miniconda3/lib/python3.10/site-packages                         pip
parso                          0.8.3       /root/miniconda3/lib/python3.10/site-packages                         pip
pexpect                        4.8.0       /root/miniconda3/lib/python3.10/site-packages                         pip
pickleshare                    0.7.5       /root/miniconda3/lib/python3.10/site-packages                         pip
Pillow                         9.4.0       /root/miniconda3/lib/python3.10/site-packages
pip                            22.3.1      /root/miniconda3/lib/python3.10/site-packages
platformdirs                   2.6.2       /root/miniconda3/lib/python3.10/site-packages                         pip
pluggy                         1.0.0       /root/miniconda3/lib/python3.10/site-packages                         conda
prometheus-client              0.16.0      /root/miniconda3/lib/python3.10/site-packages                         pip
prompt-toolkit                 3.0.36      /root/miniconda3/lib/python3.10/site-packages                         pip
protobuf                       3.20.3      /root/miniconda3/lib/python3.10/site-packages                         pip
psutil                         5.9.4       /root/miniconda3/lib/python3.10/site-packages                         pip
ptyprocess                     0.7.0       /root/miniconda3/lib/python3.10/site-packages                         pip
pure-eval                      0.2.2       /root/miniconda3/lib/python3.10/site-packages                         pip
pyasn1                         0.4.8       /root/miniconda3/lib/python3.10/site-packages                         pip
pyasn1-modules                 0.2.8       /root/miniconda3/lib/python3.10/site-packages                         pip
pycosat                        0.6.4       /root/miniconda3/lib/python3.10/site-packages                         conda
pycparser                      2.21        /root/miniconda3/lib/python3.10/site-packages                         conda
Pygments                       2.14.0      /root/miniconda3/lib/python3.10/site-packages                         pip
pyOpenSSL                      22.0.0      /root/miniconda3/lib/python3.10/site-packages                         conda
pyparsing                      3.0.9       /root/miniconda3/lib/python3.10/site-packages                         pip
pyrsistent                     0.19.3      /root/miniconda3/lib/python3.10/site-packages                         pip
PySocks                        1.7.1       /root/miniconda3/lib/python3.10/site-packages                         conda
python-dateutil                2.8.2       /root/miniconda3/lib/python3.10/site-packages                         pip
python-json-logger             2.0.4       /root/miniconda3/lib/python3.10/site-packages                         pip
pytz                           2022.7.1    /root/miniconda3/lib/python3.10/site-packages                         pip
PyYAML                         6.0         /root/miniconda3/lib/python3.10/site-packages                         pip
pyzmq                          25.0.0      /root/miniconda3/lib/python3.10/site-packages                         pip
requests                       2.28.1      /root/miniconda3/lib/python3.10/site-packages                         conda
requests-oauthlib              1.3.1       /root/miniconda3/lib/python3.10/site-packages                         pip
rfc3339-validator              0.1.4       /root/miniconda3/lib/python3.10/site-packages                         pip
